expected,actual,error,max_error
0.375,0.375,0.0,4.57763671875e-05
0.625,0.625,0.0,6.103515625e-05
0.3125,0.3125,0.0,3.0517578125e-05
0.4375,0.4375,0.0,4.57763671875e-05
0.0625,0.0625,0.0,0.0
0.125,0.125,0.0,1.52587890625e-05
0.5,0.5,0.0,6.103515625e-05
0.09375,0.09375,0.0,1.52587890625e-05
1.0,1.0,0.0,0.0001068115234375
0.75,0.75,0.0,7.62939453125e-05
0.5,0.5,0.0,6.103515625e-05
0.75,0.75,0.0,7.62939453125e-05
1.0,1.0,0.0,0.0001068115234375
0.5,0.5,0.0,6.103515625e-05
0.1875,0.1875,0.0,1.52587890625e-05
0.1875,0.1875,0.0,1.52587890625e-05
0.75,0.75,0.0,7.62939453125e-05
0.01953125,0.01953125,0.0,0.0
0.4375,0.4375,0.0,4.57763671875e-05
0.1875,0.1875,0.0,1.52587890625e-05
1.0,1.0,0.0,0.0001068115234375
0.03125,0.03125,0.0,0.0
1.0,1.0,0.0,0.0001068115234375
0.046875,0.046875,0.0,0.0
0.625,0.625,0.0,6.103515625e-05
1.0,1.0,0.0,0.0001068115234375
0.3125,0.3125,0.0,3.0517578125e-05
0.5,0.5,0.0,6.103515625e-05
0.75,0.75,0.0,7.62939453125e-05
0.875,0.875,0.0,9.1552734375e-05
0.75,0.75,0.0,7.62939453125e-05
0.3125,0.3125,0.0,3.0517578125e-05
0.15625,0.15625,0.0,1.52587890625e-05
0.875,0.875,0.0,9.1552734375e-05
0.625,0.625,0.0,6.103515625e-05
0.625,0.625,0.0,6.103515625e-05
0.3125,0.3125,0.0,3.0517578125e-05
0.25,0.25,0.0,3.0517578125e-05
1.0,1.0,0.0,0.0001068115234375
0.375,0.375,0.0,4.57763671875e-05
0.15625,0.15625,0.0,1.52587890625e-05
0.21875,0.21875,0.0,3.0517578125e-05
0.125,0.125,0.0,1.52587890625e-05
0.046875,0.046875,0.0,0.0
0.09375,0.09375,0.0,1.52587890625e-05
0.625,0.625,0.0,6.103515625e-05
0.875,0.875,0.0,9.1552734375e-05
0.25,0.25,0.0,3.0517578125e-05
0.0546875,0.875,0.875,0.0
0.1875,0.1875,0.0,1.52587890625e-05
0.3125,0.375,0.0625,3.0517578125e-05
0.625,0.625,0.0,6.103515625e-05
0.625,0.4375,0.1875,6.103515625e-05
0.3125,0.3125,0.0,3.0517578125e-05
0.625,0.875,0.25,6.103515625e-05
0.875,0.875,0.0,9.1552734375e-05
0.875,0.875,0.0,9.1552734375e-05
0.1875,0.1875,0.0,1.52587890625e-05
0.375,0.375,0.0,4.57763671875e-05
0.15625,0.15625,0.0,1.52587890625e-05
0.4375,0.4375,0.0,4.57763671875e-05
0.5,0.5,0.0,6.103515625e-05
0.875,0.875,0.0,9.1552734375e-05
0.375,0.375,0.0,4.57763671875e-05
