instruction,source_width,source_vec_len,destination_width,destination_vec_len
flh,16,1,16,1
fsh,16,1,16,1
fadd.s,32,1,32,1
fsub.s,32,1,32,1
fmadd.h,16,1,16,1
fmsub.h,16,1,16,1
fnmsub.h,16,1,16,1
fnmadd.h,16,1,16,1
fadd.h,16,1,16,1
fsub.h,16,1,16,1
fmul.h,16,1,16,1
fdiv.h,16,1,16,1
fsqrt.h,16,1,16,1
fsgnj.h,16,1,16,1
fsgnjn.h,16,1,16,1
fsgnjx.h,16,1,16,1
fmin.h,16,1,16,1
fmax.h,16,1,16,1
feq.h,16,1,16,1
flt.h,16,1,16,1
fle.h,16,1,16,1
fcvt.w.h,16,1,32,1
fcvt.wu.h,,,,
fcvt.h.w,32,1,16,1
fcvt.h.wu,,,,
fmv.x.h,,,,
fclass.h,,,,
fmv.h.x,,,,
fcvt.l.h,16,1,64,1
fcvt.lu.h,,,,
fcvt.h.l,64,1,16,1
fcvt.h.lu,,,,
fcvt.s.h,16,1,32,1
fcvt.h.s,32,1,16,1
fcvt.d.h,16,1,64,1
fcvt.h.d,64,1,16,1
flah,16,1,16,1
fsah,16,1,16,1
fmadd.ah,16,1,16,1
fmsub.ah,16,1,16,1
fnmsub.ah,16,1,16,1
fnmadd.ah,16,1,16,1
fadd.ah,16,1,16,1
fsub.ah,16,1,16,1
fmul.ah,16,1,16,1
fdiv.ah,16,1,16,1
fsqrt.ah,16,1,16,1
fsgnj.ah,16,1,16,1
fsgnjn.ah,16,1,16,1
fsgnjx.ah,16,1,16,1
fmin.ah,16,1,16,1
fmax.ah,16,1,16,1
feq.ah,16,1,16,1
flt.ah,16,1,16,1
fle.ah,16,1,16,1
fcvt.w.ah,16,1,32,1
fcvt.wu.ah,,,,
fcvt.ah.w,32,1,16,1
fcvt.ah.wu,,,,
fmv.x.ah,,,,
fclass.ah,,,,
fmv.ah.x,,,,
fcvt.l.ah,16,1,64,1
fcvt.lu.ah,,,,
fcvt.ah.l,64,1,16,1
fcvt.ah.lu,,,,
fcvt.s.ah,16,1,32,1
fcvt.ah.s,32,1,16,1
fcvt.d.ah,16,1,64,1
fcvt.ah.d,64,1,16,1
fcvt.h.h,16,1,16,1
fcvt.ah.h,16,1,16,1
fcvt.h.ah,16,1,16,1
fcvt.ah.ah,16,1,16,1
flb,8,1,8,1
fsb,8,1,8,1
fmadd.b,8,1,8,1
fmsub.b,8,1,8,1
fnmsub.b,8,1,8,1
fnmadd.b,8,1,8,1
fadd.b,8,1,8,1
fsub.b,8,1,8,1
fmul.b,8,1,8,1
fdiv.b,8,1,8,1
fsqrt.b,8,1,8,1
fsgnj.b,8,1,8,1
fsgnjn.b,8,1,8,1
fsgnjx.b,8,1,8,1
fmin.b,8,1,8,1
fmax.b,8,1,8,1
feq.b,8,1,8,1
flt.b,8,1,8,1
fle.b,8,1,8,1
fcvt.w.b,8,1,32,1
fcvt.wu.b,,,,
